,Grade,Name,Tags
172,V1,Service complet,Boulder
173,V1,Café,Boulder
174,V1,★ Resto,Boulder
175,V3,★ Le serveur,Boulder
176,V2,Bistro (départ assis),Boulder
177,V1,Bistro,Boulder
178,V3,★★ Les trois dalles,Boulder
179,V2,★ Confiance,Boulder
180,V3,Ze jump,Boulder
181,V6,★ Le passage,Boulder
182,V5,★ Tu peux,Boulder
183,V3,★ Problème à la souche,Boulder
184,V3,Le 6 faces suinte,Boulder
185,V0,Monte en haut,Boulder
186,V0,Monte en bas,Boulder
187,V1,Franky,Boulder
188,V2,Voie double dyno,Boulder
189,V5,★ Voie double,Boulder
190,V4,★ L'arête de la honte,Boulder
191,V1,Philanthrope,Boulder
192,V0,La fissure du coin,Boulder
193,V0,★★ Faut pas craquer,Boulder
194,V6,★★ L'arête classique (assis),Boulder
195,V5,★ L'arête classique,Boulder
196,V2,★ La poule,Boulder
197,V8,★★★ Ti-Coq,Boulder
198,V8,Super slap,Boulder
199,V3,★★ Traitement de canal,Boulder
200,V4/5,★ Le pont,
201,V1,★ Accroc,
202,V0,Sans chausson,
203,V0,Salle d'attente,
204,V0,★ Petite plaque,
205,V0,Plaque,
206,V6,★★★ Dent de sagesse,
207,V2,★★ Canine droite,
208,V4,Canine directe,
209,V4,Canine gauche,
210,V1,Bombé,
211,V3,Godzilla,Boulder
212,V4/5,Le petit monstre 2,Boulder
213,V3,Le petit monstre 1,Boulder
214,V2,"Y dors, fais le tour",Boulder
215,V0,Points de suture,Boulder
216,V0,Scareface,Boulder
217,V2,Scarification,Boulder
218,V2,L'équilibriste,Boulder
219,V0,Premières cicatrices,Boulder
220,V7,★★★ L'extension dans l'huître,Boulder
221,V0,Écrevisse,Boulder
222,V5,★★ L'évolution du mollusque,Boulder
223,V4,Le divan,Boulder
224,V2,Saut quantique,Boulder
225,V0,Charm quark,Boulder
226,V7,★ Fusion nucléaire (bas),Boulder
227,V4,★ Fusion nucléaire,Boulder
228,V3,Nucléon,Boulder
229,V2,Friction atomique,Boulder
230,V0,Bottom quark,Boulder
231,V0,Top quark,Boulder
232,V2,Ionisation,Boulder
233,V1,Électron-Volte,Boulder
234,,Couches atomiques,Boulder
235,,Effet supraluminique,Boulder
236,V6,Patella,Boulder
237,V1,Sangsue,Boulder
238,V2,Contorsions,Boulder
239,V2,L'index,Boulder
240,V4,Troisième rempart,Boulder
241,V2,Rotonde,Boulder
242,V3,Second rempart,Boulder
243,V4,Le sarcophage de Louis,Boulder
244,V1,Petit bonhomme,Boulder
245,V8,La vigie,Boulder
246,V0,Premier rempart,Boulder
247,V8,La troisième chance,Boulder
248,V7,La deuxième chance,Boulder
249,V4,La première chance,Boulder
250,V6,L'enclave,Boulder
251,V4,★★ Primera Fiesta,Boulder
252,V6,Pavé de bonnes intentions,Boulder
253,V5,Science,Boulder
254,V6,Fiction,Boulder
255,V0,K,Boulder
256,V6,À marée basse,Boulder
257,V2,Le plafond,Boulder
258,V3,Tous aux abris!,Boulder
259,V3,Exposé,Boulder
260,V0,★★ Éclair de génie,Boulder
261,V5,Jack l'éventreur,Boulder
262,V2,★ Décoin,Boulder
263,V3,L'attracteur étrange,Boulder
264,V1,Chucky,Boulder
265,V2,Freddy,Boulder
266,V4,La fissure du démon,Boulder
267,V5,★★★ 15e parallèle,Boulder
268,V3,Temporaire,Boulder
269,V1,★★ Le pilier,Boulder
270,,Côté plat,Boulder
271,V3,La tranche,Boulder
